TimeId,GameId,Day,Month,Year,StartTime
203,2012SF01,14,9,2012,8:15 PM
204,2012SF02,15,9,2012,7:45 PM
205,2012PF01,21,9,2012,7:50 PM
206,2012PF02,22,9,2012,5:15 PM
207,2012GF01,29,9,2012,2:30 PM
208,2013R0101,22,3,2013,8:10 PM
209,2013R0102,23,3,2013,4:40 PM
210,2013R0103,28,3,2013,7:45 PM
211,2013R0104,30,3,2013,1:40 PM
212,2013R0105,30,3,2013,4:40 PM
213,2013R0106,30,3,2013,6:45 PM
214,2013R0107,31,3,2013,1:10 PM
215,2013R0108,31,3,2013,4:40 PM
216,2013R0109,1,4,2013,3:20 PM
217,2013R0201,5,4,2013,7:50 PM
218,2013R0202,6,4,2013,1:45 PM
219,2013R0203,6,4,2013,2:10 PM
220,2013R0204,6,4,2013,3:40 PM
221,2013R0205,6,4,2013,7:10 PM
222,2013R0206,6,4,2013,7:40 PM
223,2013R0207,7,4,2013,1:10 PM
224,2013R0208,7,4,2013,3:20 PM
225,2013R0209,7,4,2013,2:40 PM
226,2013R0301,12,4,2013,6:40 PM
227,2013R0302,13,4,2013,1:45 PM
228,2013R0303,13,4,2013,2:10 PM
229,2013R0304,13,4,2013,4:40 PM
230,2013R0305,13,4,2013,7:40 PM
231,2013R0306,13,4,2013,7:40 PM
232,2013R0307,14,4,2013,1:10 PM
233,2013R0308,14,4,2013,3:20 PM
234,2013R0309,14,4,2013,4:10 PM
235,2013R0401,19,4,2013,7:50 PM
236,2013R0402,20,4,2013,1:45 PM
237,2013R0403,20,4,2013,2:10 PM
238,2013R0404,20,4,2013,4:40 PM
239,2013R0405,20,4,2013,5:40 PM
240,2013R0406,20,4,2013,7:40 PM
241,2013R0407,21,4,2013,1:10 PM
242,2013R0408,21,4,2013,2:50 PM
243,2013R0409,21,4,2013,4:40 PM
244,2013R0501,25,4,2013,2:40 PM
245,2013R0502,25,4,2013,7:50 PM
246,2013R0503,26,4,2013,6:45 PM
247,2013R0504,27,4,2013,1:45 PM
248,2013R0505,27,4,2013,4:40 PM
249,2013R0506,27,4,2013,7:40 PM
250,2013R0507,27,4,2013,7:15 PM
251,2013R0508,28,4,2013,3:20 PM
252,2013R0509,28,4,2013,4:40 PM
253,2013R0601,3,5,2013,7:50 PM
254,2013R0602,4,5,2013,1:45 PM
255,2013R0603,4,5,2013,2:10 PM
256,2013R0604,4,5,2013,4:10 PM
257,2013R0605,4,5,2013,7:40 PM
258,2013R0606,4,5,2013,7:40 PM
259,2013R0607,5,5,2013,1:10 PM
260,2013R0608,5,5,2013,3:20 PM
261,2013R0609,5,5,2013,2:40 PM
262,2013R0701,10,5,2013,7:50 PM
263,2013R0702,11,5,2013,1:15 PM
264,2013R0703,11,5,2013,2:10 PM
265,2013R0704,11,5,2013,4:40 PM
266,2013R0705,11,5,2013,5:40 PM
267,2013R0706,11,5,2013,7:40 PM
268,2013R0707,12,5,2013,1:10 PM
269,2013R0708,12,5,2013,4:40 PM
270,2013R0709,13,5,2013,7:40 PM
271,2013R0801,17,5,2013,6:40 PM
272,2013R0802,18,5,2013,1:45 PM
273,2013R0803,18,5,2013,2:10 PM
274,2013R0804,18,5,2013,4:40 PM
275,2013R0805,18,5,2013,7:40 PM
276,2013R0806,18,5,2013,7:40 PM
